RIVER,SPECIES,LENGTH,WEIGHT
FCM,CCATFISH,42.5,732
FCM,CCATFISH,44.0,795
FCM,CCATFISH,41.5,547
FCM,CCATFISH,39.0,465
FCM,CCATFISH,50.5,1252
FCM,CCATFISH,52.0,1255
LCM,CCATFISH,40.5,741
LCM,CCATFISH,48.0,1151
LCM,CCATFISH,48.0,1186
LCM,CCATFISH,43.5,754
LCM,CCATFISH,40.5,679
LCM,CCATFISH,47.5,985
SCM,CCATFISH,44.5,1133
SCM,CCATFISH,46.0,1139
SCM,CCATFISH,48.0,1186
SCM,CCATFISH,45.0,984
SCM,CCATFISH,43.0,965
SCM,CCATFISH,45.0,1084
TRM,CCATFISH,48.0,986
TRM,CCATFISH,45.0,1023
TRM,CCATFISH,49.0,1266
TRM,CCATFISH,50.0,1086
TRM,CCATFISH,46.0,1044
TRM,CCATFISH,52.0,1770
TRM,CCATFISH,48.0,1048
TRM,CCATFISH,51.0,1641
TRM,CCATFISH,48.5,1331
TRM,CCATFISH,51.0,1728
TRM,CCATFISH,44.0,917
TRM,CCATFISH,51.0,1398
TRM,SMBUFFALO,49.0,1763
TRM,SMBUFFALO,46.0,1459
TRM,SMBUFFALO,52.0,2302
TRM,SMBUFFALO,46.0,1614
TRM,SMBUFFALO,46.0,1444
TRM,SMBUFFALO,48.0,2006
TRM,CCATFISH,44.0,936
TRM,CCATFISH,42.0,1058
TRM,CCATFISH,42.5,800
TRM,CCATFISH,45.5,1087
TRM,CCATFISH,48.0,1329
TRM,CCATFISH,44.0,897
TRM,LMBASS,28.5,778
TRM,LMBASS,26.0,532
TRM,LMBASS,25.5,441
TRM,LMBASS,25.0,544
TRM,LMBASS,23.0,393
TRM,LMBASS,28.0,733
TRM,CCATFISH,41.0,961
TRM,CCATFISH,44.0,886
TRM,CCATFISH,41.0,678
TRM,CCATFISH,42.0,1011
TRM,CCATFISH,42.5,947
TRM,CCATFISH,44.0,989
TRM,SMBUFFALO,43.5,1291
TRM,SMBUFFALO,46.5,1186
TRM,SMBUFFALO,43.0,1293
TRM,SMBUFFALO,47.0,1709
TRM,SMBUFFALO,46.0,1425
TRM,SMBUFFALO,41.0,1176
TRM,CCATFISH,36.0,980
TRM,CCATFISH,47.5,1176
TRM,CCATFISH,41.5,989
TRM,CCATFISH,49.5,1084
TRM,CCATFISH,46.0,1115
TRM,CCATFISH,46.5,724
TRM,CCATFISH,36.0,847
TRM,CCATFISH,37.0,876
TRM,CCATFISH,35.0,844
TRM,CCATFISH,36.0,908
TRM,CCATFISH,48.0,1358
TRM,CCATFISH,49.0,1019
TRM,SMBUFFALO,35.5,1300
TRM,SMBUFFALO,46.0,1365
TRM,SMBUFFALO,45.0,1437
TRM,SMBUFFALO,44.5,1460
TRM,SMBUFFALO,49.0,1671
TRM,SMBUFFALO,47.5,1717
TRM,CCATFISH,35.0,613
TRM,CCATFISH,51.0,353
TRM,CCATFISH,42.5,909
TRM,CCATFISH,38.0,886
TRM,CCATFISH,41.0,890
TRM,CCATFISH,47.0,1031
TRM,CCATFISH,45.0,1083
TRM,CCATFISH,45.5,864
TRM,CCATFISH,45.0,886
TRM,CCATFISH,45.0,965
TRM,CCATFISH,39.0,537
TRM,CCATFISH,40.5,630
TRM,SMBUFFALO,46.0,1486
TRM,SMBUFFALO,47.0,1743
TRM,SMBUFFALO,48.5,2061
TRM,SMBUFFALO,48.0,1707
TRM,SMBUFFALO,38.0,862
TRM,SMBUFFALO,38.5,911
TRM,CCATFISH,29.5,476
TRM,CCATFISH,42.0,743
TRM,CCATFISH,47.5,1128
TRM,CCATFISH,43.5,848
TRM,CCATFISH,47.5,1091
TRM,CCATFISH,43.5,715
TRM,CCATFISH,47.5,983
TRM,CCATFISH,51.5,1251
TRM,CCATFISH,49.5,1255
TRM,CCATFISH,47.0,1152
TRM,CCATFISH,47.5,1085
TRM,CCATFISH,47.0,1118
TRM,SMBUFFALO,36.0,1285
TRM,SMBUFFALO,34.5,1178
TRM,SMBUFFALO,44.5,1492
TRM,SMBUFFALO,46.0,1524
TRM,SMBUFFALO,46.0,1473
TRM,SMBUFFALO,32.5,520
TRM,CCATFISH,46.0,863
TRM,CCATFISH,40.0,549
TRM,CCATFISH,43.5,810
TRM,CCATFISH,46.5,908
TRM,CCATFISH,43.0,804
TRM,CCATFISH,47.5,1179
TRM,CCATFISH,32.0,556
TRM,CCATFISH,40.5,659
TRM,CCATFISH,51.5,1229
TRM,CCATFISH,48.0,1050
TRM,CCATFISH,47.0,952
TRM,CCATFISH,41.0,826
TRM,SMBUFFALO,33.5,599
TRM,SMBUFFALO,47.0,1704
TRM,CCATFISH,50.0,1207
TRM,CCATFISH,45.0,911
TRM,CCATFISH,49.0,1498
TRM,CCATFISH,49.5,1496
TRM,CCATFISH,50.0,1142
TRM,CCATFISH,45.0,879
TRM,SMBUFFALO,32.5,525
TRM,SMBUFFALO,38.0,806
TRM,SMBUFFALO,38.5,694
TRM,SMBUFFALO,36.0,643
TRM,LMBASS,26.5,514
TRM,LMBASS,23.5,358
TRM,LMBASS,30.0,856
TRM,LMBASS,29.0,793
TRM,LMBASS,17.5,173
TRM,LMBASS,36.0,1433
